BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
342700010314,Epic High School - South,27Q314,"$3,894,597.00","$3,894,597.00",$0.00,100.00%,"$338,081.00","$998,049.00","$5,230,726.00","$5,230,726.00",$0.00,"$6,504,556.00",80.42%,"$1,273,829.00"
342700010316,Queens Explorers Elementary School,27Q316,"$2,945,088.00","$2,945,088.00",$0.00,100.00%,"$338,081.00","$880,936.00","$4,164,105.00","$4,164,105.00",$0.00,"$6,964,189.00",59.79%,"$2,800,084.00"
342700010317,Waterside Children's Studio School,27Q317,"$2,975,679.00","$2,975,679.00",$0.00,100.00%,"$338,081.00","$941,143.00","$4,254,903.00","$4,254,903.00",$0.00,"$10,059,423.00",42.30%,"$5,804,520.00"
342700010318,Waterside School for Leadership,27Q318,"$1,924,450.00","$1,924,450.00",$0.00,100.00%,"$338,081.00","$645,841.00","$2,908,371.00","$2,908,371.00",$0.00,"$3,836,702.00",75.80%,"$928,331.00"
342700010319,Village Academy,27Q319,"$4,064,953.00","$4,064,953.00",$0.00,100.00%,"$338,081.00","$985,592.00","$5,388,626.00","$5,388,626.00",$0.00,"$7,315,432.00",73.66%,"$1,926,806.00"
342700010323,Scholars' Academy,27Q323,"$9,060,809.00","$9,060,809.00",$0.00,100.00%,"$338,081.00","$2,546,916.00","$11,945,807.00","$11,945,807.00",$0.00,"$15,027,930.00",79.49%,"$3,082,123.00"
342700011324,Rockaway Park High School for Environmental Sustainability,27Q324,"$2,988,091.00","$2,988,091.00",$0.00,100.00%,"$338,081.00","$881,702.00","$4,207,874.00","$4,207,874.00",$0.00,"$6,199,545.00",67.87%,"$1,991,671.00"
342700010333,Goldie Maple Academy,27Q333,"$2,509,438.00","$2,509,438.00",$0.00,100.00%,"$338,081.00","$715,476.00","$3,562,995.00","$3,562,995.00",$0.00,"$7,034,387.00",50.65%,"$3,471,392.00"
342700011334,Epic High School - North,27Q334,"$3,351,233.00","$3,351,233.00",$0.00,100.00%,"$338,081.00","$907,234.00","$4,596,548.00","$4,596,548.00",$0.00,"$5,509,836.00",83.42%,"$913,288.00"
342700011351,Rockaway Collegiate High School,27Q351,"$2,786,688.00","$2,786,688.00",$0.00,100.00%,"$338,081.00","$813,556.00","$3,938,325.00","$3,938,325.00",$0.00,"$5,693,176.00",69.18%,"$1,754,852.00"
342700010362,Wave Preparatory Elementary School,27Q362,"$3,973,944.00","$3,973,944.00",$0.00,100.00%,"$338,081.00","$1,052,594.00","$5,364,619.00","$5,364,619.00",$0.00,"$8,338,025.00",64.34%,"$2,973,406.00"
342700010377,P.S. 377,27Q377,"$2,728,899.00","$2,728,899.00",$0.00,100.00%,"$338,081.00","$790,574.00","$3,857,554.00","$3,857,554.00",$0.00,"$7,149,658.00",53.95%,"$3,292,104.00"
342700011400,August Martin High School,27Q400,"$6,315,295.00","$6,315,295.00",$0.00,100.00%,"$338,081.00","$1,465,822.00","$8,119,198.00","$8,119,198.00",$0.00,"$11,255,250.00",72.14%,"$3,136,052.00"
342700011475,Richmond Hill High School,27Q475,"$15,855,571.00","$15,855,571.00",$0.00,100.00%,"$338,081.00","$4,337,037.00","$20,530,689.00","$20,530,689.00",$0.00,"$27,718,513.00",74.07%,"$7,187,824.00"
342700011480,John Adams High School,27Q480,"$20,565,764.00","$20,565,764.00",$0.00,100.00%,"$338,081.00","$5,828,886.00","$26,732,732.00","$26,732,732.00",$0.00,"$36,260,901.00",73.72%,"$9,528,170.00"
342700011650,"High School for Construction Trades, Engineering and Architecture",27Q650,"$9,656,930.00","$9,656,930.00",$0.00,100.00%,"$338,081.00","$2,465,633.00","$12,460,644.00","$12,460,644.00",$0.00,"$15,353,432.00",81.16%,"$2,892,788.00"
300000000027,Pre-K Center District 27,27QP27,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
342800010008,J.H.S. 008 Richard S. Grossley,28Q008,"$3,766,833.00","$3,766,833.00",$0.00,100.00%,"$338,081.00","$1,100,613.00","$5,205,527.00","$5,205,527.00",$0.00,"$7,788,769.00",66.83%,"$2,583,242.00"
342800010040,P.S. 040 Samuel Huntington,28Q040,"$2,773,851.00","$2,773,851.00",$0.00,100.00%,"$338,081.00","$848,069.00","$3,960,001.00","$3,960,001.00",$0.00,"$7,132,392.00",55.52%,"$3,172,391.00"
342800010048,David N. Dinkins School,28Q048,"$3,105,140.00","$3,105,140.00",$0.00,100.00%,"$338,081.00","$926,865.00","$4,370,086.00","$4,370,086.00",$0.00,"$7,774,673.00",56.21%,"$3,404,587.00"
